Set Number,Set Name,Sold,Upcoming,Cost,Low Value,High Value
75163,Krennic's Imperial Shuttle Microfighter,,,1,15,20
75164,Rebel Trooper Battle Pack,39.99,,9.95,20,45
75164,Rebel Trooper Battle Pack,,39.99,9.95,,
75164,Rebel Trooper Battle Pack,,,1.46,20,45
75165,Imperial Trooper Battle Pack,54.99,,9.95,,
75165,Imperial Trooper Battle Pack,,layaway,9.95,40,55
75165,Imperial Trooper Battle Pack,,54.99,12.49,,
75166,First Order Transport Speeder Battle Pack,29.99,,9,,
75166,Fisrt Order Transport Speeder Battle Pack,29.99,,9,,
75167,Bounty Hunter Speeder Bike Battle Pack,40,,9,,
75167,Bounty Hunter Speeder Bike Battle Pack,,49.99,9,,
75167,Bounty Hunter Speeder Bike Battle Pack,,,10.78,35,50
75168,Yoda's Jedi Starfighter,59.99,,16.57,,
75169,Duel on Naboo,,79.99,16.57,,
75169,Duel on Naboo,,,?,50,80
75170,The Phantom,,,19.89,250,350
75170,The Phantom,,,19.89,250,350
75170,The Phantom,,,22.08,250,350
75170,The Phantom,,,17.99,250,350
75170,The Phantom,,,17.22,250,350
75171,Battle on Scarif,139.99,,33.15,,
75171,Battle on Scarif,,,28.99,100,150
75172,Y-Wing Starfighter,149.99,,44.16,,
75172,Y-Wing Starfighter,,layaway,33.83,,
75172,Y-Wing Starfighter,,,38.99,120,160
75172,Y-Wing Starfighter,,,29.99,120,160
75173,Luke's Landspeeder,,39.99,14.79,,
75174,Desert Skiff Escape,,,21.49,65,95
75175,A-Wing Starfighter,,,28.51,100,120
75175,A-Wing Starfighter,,,24.25,100,120
75175,A-Wing Starfighter,,,25.99,100,120
75176,Resistance Transport Pod,,39.99,19.25,,
75177,First Order Heavy Scout Walker,,,51.15,40,60
75178,Jakku Quadjumper,,,24.99,65,80
75179,Kylo Ren's TIE Fighter,,,51.3,120,200
75180,Rathtar Escape,,,47.98,,
75182,Republic Fighter Tank,,99.99,18.24,,
75182,Republic Fighter Tank,,,17.49,80,130
75183,Darth Vadar Transformation,,,14.98,60,85
75183,Darth Vadar Transformation,,,7.49,60,85
75185,Tracker 1,,layaway,49.99,,
75186,The Arrowhead,,layaway,61,140,180
75187,BB-8,174.99,,64.1,,
75188-3,Resistance Bomber,,,70.5,160,200
75189,First Order Heavy Assault Walker,199.99,,96.15,,
75190,First Order Star Destroyer,,layaway,102.55,200,280
75191,Jedi Starfighter With Hyperdrive,450,,78,,
75192,Millennium Falcon UCS,,layaway,789.99,,
75206,Jedi and Clone Troopers Battle Pack,,,?,,
75218,X-Wing Starfighter,129.99,,32.5,,
75240,Major Vonreg's TIE Fighter,,,54.95,80,120
75249,Resistance Y-Wing Starfighter,,,47.36,50,90
75258,Anakin's Pod Racer,,59.99,24.99,,
75263,Resistance Y-Wing Microfighter,19.99,,4.99,,
75263,Resistance Y-Wing Microfighter,19.99,,4.99,,
75263,Resistance Y-Wing Microfighter,19.99,,6.29,,
75263,Resistance Y-Wing Microfighter,,,6.29,10,20
75263,Resistance Y-Wing Microfighter,,,7.49,10,20
75264,Kylo Ren's Shuttle Microfighter,,,6.99,20,35
75266,Sith Trooper Battle Pack,,,12.99,15,25
75266,Sith Trooper Battle Pack,,,12.99,15,25
75266,Sith Trooper Battle Pack,,,12.99,15,25
75267,Mandalorian Battle Pack,,,12.95,15,30
75267,Mandalorian Battle Pack,,,12.99,15,30
75267,Mandalorian Battle Pack,,,12.99,15,30
75267,Mandalorian Battle Pack,,,12.99,15,30
75273,Poe Dameron's X-Wing Fighter,,,72.99,80,100
75273,Poe Dameron's X-Wing Fighter,,,72.99,80,100
75532,Scout Trooper & Speeder Bike,89.99,,27.99,,
